,location,rating,number_of_reviews,date,trip type
0,제주 한림읍 금능길 119-10,4.5,77건,2019년 10월,가족과 여행함
1,,,,2019년 11월,가족과 여행함
2,,,,2019년 7월,친구와 여행함
3,,,,2019년 3월,가족과 여행함
4,,,,2019년 7월,커플로 여행함
5,,,,2019년 4월,가족과 여행함
6,,,,2018년 6월,가족과 여행함
7,,,,2018년 11월,친구와 여행함
8,,,,2018년 9월,출장 목적으로 여행함
9,,,,2018년 8월,친구와 여행함
10,,,,2018년 8월,친구와 여행함
11,,,,2018년 8월,가족과 여행함
12,,,,2018년 7월,나 혼자 여행함
13,,,,2018년 7월,커플로 여행함
14,,,,2017년 8월,커플로 여행함
15,,,,2018년 5월,가족과 여행함
16,,,,2018년 1월,커플로 여행함
17,,,,2017년 10월,가족과 여행함
18,,,,2017년 1월,친구와 여행함
19,,,,2017년 11월,가족과 여행함
20,,,,2017년 8월,가족과 여행함
21,,,,2016년 11월,친구와 여행함
22,,,,2017년 9월,가족과 여행함
23,,,,2017년 8월,친구와 여행함
24,,,,2017년 7월,친구와 여행함
25,,,,2017년 6월,가족과 여행함
26,,,,2017년 6월,나 혼자 여행함
27,,,,2017년 6월,나 혼자 여행함
28,,,,2017년 3월,가족과 여행함
29,,,,2016년 8월,가족과 여행함
30,,,,2016년 12월,커플로 여행함
31,,,,2016년 11월,친구와 여행함
32,,,,2016년 9월,친구와 여행함
33,,,,2016년 7월,커플로 여행함
34,,,,2015년 8월,친구와 여행함
35,,,,2016년 6월,커플로 여행함
36,,,,2016년 4월,가족과 여행함
37,,,,2016년 4월,친구와 여행함
38,,,,2016년 3월,가족과 여행함
39,,,,2016년 3월,커플로 여행함
40,,,,2015년 8월,가족과 여행함
41,,,,2015년 9월,가족과 여행함
42,,,,2015년 12월,가족과 여행함
43,,,,2015년 12월,커플로 여행함
44,,,,2015년 12월,친구와 여행함
45,,,,2015년 8월,나 혼자 여행함
46,,,,2015년 7월,가족과 여행함
47,,,,2015년 7월,커플로 여행함
48,,,,2015년 11월,
49,,,,2015년 10월,
50,,,,2015년 7월,
51,,,,2019년 11월,
52,,,,2019년 9월,
53,,,,2019년 2월,
54,,,,2017년 5월,
55,,,,2016년 9월,
56,,,,2016년 7월,
57,,,,2015년 12월,
58,,,,2015년 9월,
